Sample,Molecular Weight,Fluorescence
S2 + Triton,36.700000000000003,31.285147980404577
S2 + Triton,37,31.854887891575277
S2 + Triton,37.200000000000003,31.358487548824279
S2 + Triton,37.399999999999999,29.986112208902526
S2 + Triton,37.700000000000003,29.41866501786005
S2 + Triton,37.899999999999999,32.37409106900224
S2 + Triton,38.200000000000003,41.071378757453822
S2 + Triton,38.399999999999999,53.639977678591336
S2 + Triton,38.700000000000003,63.01543346029645
S2 + Triton,38.899999999999999,64.387332719877122
S2 + Triton,39.200000000000003,57.830023505993196
S2 + Triton,39.399999999999999,46.715172754067254
S2 + Triton,39.700000000000003,35.208682580641693
S2 + Triton,39.899999999999999,26.324430308857984
S2 + Triton,40.200000000000003,21.07724084322032
S2 + Triton,40.399999999999999,18.810981346896028
S2 + Triton,40.700000000000003,18.59903255748954
S2 + Triton,41,19.357255716261701
S2 + Triton,41.200000000000003,20.628355403517148
S2 + Triton,41.5,22.066144202347274
S2 + Triton,41.700000000000003,23.530133881623325
S2 + Triton,42,25.070295740257492
S2 + Triton,42.200000000000003,26.770788818613227
S2 + Triton,42.5,28.488024907220844
S2 + Triton,42.799999999999997,29.579606503872103
S2 + Triton,43,29.612369074253817
S2 + Triton,43.299999999999997,29.231886570298194
S2 + Triton,43.600000000000001,29.215747025428762
S2 + Triton,43.799999999999997,29.940569522988273
S2 + Triton,44.100000000000001,31.457509189008238
S2 + Triton,44.399999999999999,33.573037345708308
S2 + Triton,44.600000000000001,35.936328729724686
S2 + Triton,44.899999999999999,38.329298902001753
S2 + Triton,45.200000000000003,40.953734821359703
S2 + Triton,45.399999999999999,44.592895292805053
S2 + Triton,45.700000000000003,50.703017518589348
S2 + Triton,46,60.197382872717306
S2 + Triton,46.299999999999997,72.300042811890975
S2 + Triton,46.5,84.209520075378123
S2 + Triton,46.799999999999997,91.994698676205331
S2 + Triton,47.100000000000001,92.71544888036297
S2 + Triton,47.299999999999997,86.955001223170001
S2 + Triton,47.600000000000001,79.544400014018493
S2 + Triton,47.899999999999999,73.60366793818126
S2 + Triton,48.200000000000003,69.968627439610543
S2 + Triton,48.5,69.187238960925058
S2 + Triton,48.700000000000003,71.869468176415722
S2 + Triton,49,77.652583425651969
S2 + Triton,49.299999999999997,84.036321101775272
S2 + Triton,49.600000000000001,87.20528190212238
