,S1,S1,S1,S1,S1,S1+Triton,S1+Triton,S1+Triton,S1+Triton,S1+Triton,S2,S2,S2,S2,S2,S2 + Triton,S2 + Triton,S2 + Triton,S2 + Triton,S2 + Triton
10.8,44.480477442137726,55.50331278764526,58.02959313267125,85.81727096912962,69.96620033221326,-28.997180393312735,-38.55210257108631,-26.76943126610827,-28.872893936457945,-24.28162536325209,171.4128228022205,211.05280381059217,211.06534224671736,254.05828284504932,278.99703847809303,7.176123982220452,7.936820746786365,-11.518188545505007,4.941270606321376,4.119448606490936
10.9,38.992743491198546,48.99545402258614,54.14798321436247,84.5014071248706,72.04788195792766,-28.512385364396394,-38.571539481179386,-25.43887295186727,-28.38684309456345,-23.738820318764578,166.4310528079406,205.60122693820958,205.60171471649227,249.70322564097125,276.1038888139974,6.029347657269885,7.078091051124305,-11.146812349401223,4.084186922260278,3.384714999381917
11.1,34.32945061926509,43.441390949421255,50.88917218444563,82.82385867719186,73.52354100293643,-28.110395483160435,-38.59797720130272,-25.234112713685626,-28.229976280638628,-23.44166286569793,162.95138394661637,202.23748882697438,201.8775797278774,245.98806546191386,273.204558942192,5.060551383049389,6.2730741570808695,-10.357147269890593,2.982268397636856,2.473132925019416
11.2,30.723797414041297,38.75586588708821,48.6632047191713,81.35405826950672,74.36047863301019,-27.79177349597105,-38.493148775195216,-25.68617139480862,-28.219946409563818,-23.2480573321142,161.93675545127957,201.1106285822032,201.2244636691263,242.94817329317638,270.64069568854563,4.417616814569555,5.8375697622646605,-9.653431319969515,2.1001152917939505,1.8746586521831103
11.3,28.836072416878096,35.16045802245955,48.42408353418306,80.93700322269201,74.67536817820405,-27.46621076209214,-38.01548299130279,-25.86673457754982,-27.974032240827974,-23.01524669011579,164.75330872168652,204.25800736656066,205.1481116619364,241.2744046926129,268.88942552505046,4.248996220832629,6.080448665237148,-9.129801861513169,1.8059736347656017,1.9157323797013217
11.4,30.123557284397283,33.878382308078194,51.26264933489581,82.67454969984087,75.47056285009901,-26.862700987258016,-37.050362212122174,-25.22381143692553,-27.263014823121786,-22.633462319557022,172.4533135593523,214.52427870763782,216.12280102650377,242.7994762545277,269.74861705110175,4.746509421284109,7.544738664318594,-8.597110850930735,2.3475516802085936,2.94058815052098
11.6,35.922281615759914,36.852383831115276,57.279392781990936,87.49943995273445,78.02793040512991,-25.783770838111444,-35.515480689786294,-23.454947648976887,-26.010641571860415,-21.932449410041677,184.17920260971397,231.98654084087138,234.47920168105745,249.83030874973838,276.7437655160944,6.508375792902119,11.560889231843715,-8.073920505002441,4.3530711642855024,5.944186243575869
11.7,45.5169655573672,45.41547368778977,63.48439236050878,94.19563719206656,83.29270558793709,-22.62748461021855,-32.31929173947045,-19.23643834776937,-22.93693691988759,-20.28175522369175,196.3189235184737,252.52674133762187,251.3418732865797,263.0722016303532,292.0658387299548,11.052501169352206,20.315975389903397,-7.479485094417803,9.466801387305303,12.917895425764327
11.8,53.64969380958909,54.702377678670686,64.9920806327639,98.39035499609591,90.79991838793931,-15.243191839781773,-24.620130059076978,-10.619352976367916,-15.15978032814852,-15.327228935966545,203.83785123807584,268.7116506482558,256.3115407164204,278.6064040915139,311.41977479571125,20.646943405847377,35.44111103998153,-6.86357967480969,20.150262339979452,26.259407877992096
12.0,55.61469991575565,58.34582134526978,60.913746788136976,97.11804524986609,97.56302454061972,-3.120266559928988,-10.885391523637734,2.7169451229842227,-1.1593481376577888,-4.621108610154847,201.4044994967347,270.3656577402493,243.75992939003768,286.5260203602085,322.69700534055715,36.381990655577006,54.06849624674825,-6.464498747663479,37.88049356009306,46.188957131337844
