ix,mw,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66
189,46,82.12488555,35.94492151,14.226953,14.82999736,30.601452,219.721554,45.42418864,56.93171481,33.60394924,23.58619364,57.81574201,42.35896883,59.9910389,4.856095362,45.71782234,20.84086367,78.09443171,4.915010973,97.16469486,53.70895909,89.74708208,131.4844301,88.05637422,6.791108803,109.3871599,92.84059659,51.8477756,76.29822339,89.8032872,80.5075109,107.3844375,48.4438215,84.21056119,66.67192934,76.13948355,56.64940281,126.2246518,138.0963541,65.59287128,43.403882,74.58018632,111.0261108,134.2799404,51.20484288,84.3849044,135.6637407,137.1477565,116.3983037,86.43979619,70.73433044,28.32868001,109.2979528,97.89825292,52.14618243,36.12459837,44.9306752,92.80031329,59.20756085,30.22620753,51.97357621,133.8382102,283.2939109,38.42110856,46.72325241,49.35976401,32.92303703
190,46.3,79.46872574,33.17539467,11.29472401,15.6702721,30.0570848,214.2400975,43.63363147,52.36130525,29.5398351,21.43630702,60.06437794,47.8916269,56.51804635,5.185358089,39.67002214,22.77028132,76.4440766,4.315314725,85.69783501,49.53686081,88.92027793,115.728145,79.8713342,6.948171271,114.6880962,94.11579798,53.19140238,69.85634786,83.69577542,69.33297805,102.7413709,48.15273604,79.34750421,61.6926784,69.39889309,51.0619607,120.5448859,117.8852882,61.13677131,43.14387595,71.80361234,107.53686,134.208576,50.62466089,80.1691338,125.4949976,133.3511181,119.3602863,78.13742095,69.81830242,31.24254034,98.26479335,92.61860708,40.05611205,32.0639764,47.07227635,91.63041146,56.17480411,32.10313563,45.34618753,131.9493677,282.81956,42.03011438,43.79515344,45.90921019,30.48584215
191,46.5,76.73415724,29.57980504,8.712255319,16.88347701,29.92466641,202.412579,41.60685365,47.5224492,25.71354526,19.77882622,61.25504626,56.21090947,52.8435642,5.413964863,34.73289917,24.24829684,74.05394128,3.635269959,73.17088243,45.17860836,85.6410991,99.07356956,70.70126316,7.521240917,117.6199146,94.07178203,52.7198396,63.01195439,77.37625531,59.17695145,96.62809075,47.64176424,74.64163015,57.82158445,61.65887704,45.71646424,111.7289432,98.41041022,56.90129397,42.3539974,67.17948576,103.0418973,129.1874958,48.40034669,75.22662245,114.0368323,126.7633311,117.3585126,70.0626988,67.39132014,36.03368227,85.79984724,85.11629465,29.41152946,27.99167688,48.8863942,87.71675536,50.15261645,33.2978425,38.87480533,125.5092732,277.6077653,45.21559258,40.09698794,42.43828991,28.52657026
192,46.8,72.6565503,25.49600923,6.519409537,19.45877598,30.77788206,185.5967648,39.31617296,42.65780766,21.84261721,18.34811702,61.23614567,64.20711371,49.47084297,5.739069432,30.67373911,25.31419397,71.30267808,2.997390421,61.66803064,41.10625782,80.37131012,83.97443517,62.3153343,9.080568626,118.1289894,92.4321045,50.4939993,55.49415941,71.29721812,50.40417781,89.35754539,46.65045075,69.61441135,55.43519518,53.09523684,40.26224459,99.72612806,81.36410455,52.40680346,42.22812081,60.62189763,98.47980474,119.6292687,44.55973094,68.60617617,101.6672211,117.3895347,111.0996183,62.86945313,62.38796675,41.16796246,73.36873364,76.30667936,20.74249845,23.95059117,50.26766998,81.42862447,42.22042947,33.7691203,32.60774122,115.3549725,267.2891512,47.98271736,35.66481107,39.01056416,27.20187275
193,47.1,66.53242418,21.27790786,4.752140281,24.46457946,32.51236692,166.3267561,36.98528716,37.84611751,18.20093429,16.78223386,59.97395256,67.26926063,46.45491885,6.129733615,27.07368412,26.02166603,68.40708116,2.521504104,51.91097993,37.72641614,73.92891806,70.33592374,55.63633312,11.81478821,116.2874987,89.22808722,47.00032526,47.99453751,65.40448706,43.10118694,81.25240886,44.97048577,63.91926442,53.66522069,44.87009383,34.66799271,85.9100723,67.55629216,47.09011265,43.10300749,52.51135372,94.40706304,106.8912496,40.11663477,60.28385694,89.21448745,105.620108,101.9523242,56.53246559,55.35148173,44.22265208,61.91965503,67.28549392,14.08951834,19.88497033,51.37493015,73.69638232,35.16520484,33.55911722,26.77455715,103.0325717,251.6839471,49.94238896,31.15860416,35.41025542,26.12995635
194,47.3,59.00747887,17.3163798,3.368020999,32.06632882,34.14140796,146.8237901,34.76529485,33.21388717,15.27884917,14.93966281,57.58475926,64.06436441,43.45064808,6.433931145,23.76682488,27.01332109,65.24809266,2.209186018,43.91729569,35.17618687,67.18588265,58.35134562,50.1853977,15.19186744,112.3096478,84.86422222,42.7033045,41.58633048,59.50892276,37.43820531,72.67838643,42.89195922,57.79513551,50.79240992,38.10906728,29.50766363,72.56332005,56.53867731,41.08053807,43.56825018,43.947363,90.14981306,92.99087068,36.20792361,51.59500547,77.68675462,92.26230333,91.12353127,50.46719387,47.93807521,43.96164682,51.78177798,58.69156067,9.163984784,15.97115114,52.34310898,65.36114813,30.08331384,32.99217261,21.86207472,89.92891811,230.9292167,50.28667378,27.2120363,31.56085364,24.6200255
195,47.6,51.70766694,13.91118002,2.370155996,40.57466943,34.61069529,128.6147004,32.64416273,29.00000003,13.33288586,13.03324769,54.34267207,57.17325614,39.9637227,6.807985644,20.97540259,27.68714492,61.44193471,1.955576091,37.36584427,33.17571071,60.85432537,48.65204157,44.87727604,18.05955951,106.3757084,79.74888166,38.03682969,36.69993061,53.62544286,33.2688722,64.13342694,41.24520539,52.24442478,46.0526633,32.74344018,25.36865383,61.29707558,47.45721674,35.16096429,42.15134692,36.06052587,84.41108504,79.50709949,33.21288436,43.98453036,67.89324914,78.53324653,79.49173507,44.20751832,41.45433866,41.37170509,42.88648329,50.97332119,5.462399459,12.57870561,52.69204077,57.03689675,26.40222884,32.25526414,17.96935693,77.0564111,207.8479336,48.40662989,23.68094422,27.77666347,22.32245284
196,47.9,45.89251103,11.11518753,1.791121061,46.84668249,33.57408301,112.4548693,30.72724907,25.15580799,11.79179881,11.4618468,50.66144725,50.76817633,35.70687671,7.505151789,18.85168009,26.81784723,56.66447097,1.816473079,31.85427792,31.13780291,54.99758005,41.65622724,39.38712195,19.17192518,99.0183536,74.4922202,33.42855569,32.32290277,48.31728361,29.67634406,56.27247199,40.03067028,48.14049254,41.25467865,27.60863864,22.23114782,51.95780765,39.41333589,30.1626701,38.14471289,29.33929237,76.35243841,67.2677412,30.62080522,38.11573226,59.51580399,65.83072995,67.83479823,38.02515159,36.19180046,38.62492555,35.2383641,44.43514778,2.671896581,9.895958262,51.54589737,49.1695263,22.43971715,31.10124601,14.75986701,65.01774499,184.9262016,44.77561799,20.59298341,24.52239809,19.55695293
197,48.2,41.32139502,8.800604047,1.455936308,48.1683533,31.73192572,98.49749442,29.09808421,21.39159414,10.18277985,10.4424599,46.78278124,47.13902387,31.10052613,8.519753794,17.28487849,24.03993014,51.26334883,1.921609692,26.91994303,28.35719038,49.61364356,36.83764173,34.33092882,18.04006836,90.96996015,69.38866021,29.31009062,27.64599184,44.12537844,26.16427277,49.32303886,38.52886863,44.65125917,38.02586494,21.79491721,19.4647326,43.55775549,32.03682622,26.17580591,32.19757704,23.52620239,66.58243402,56.45278245,27.40702425,33.42668772,52.09421129,54.83260553,56.92156686,32.80449614,31.0860044,36.74879257,28.89950744,39.1202806,0.641988507,7.810811079,48.35649289,42.06542581,16.88806886,29.04498346,11.90934493,54.19843742,162.5291514,40.59667045,17.53685891,21.9975667,16.91975558
198,48.5,36.85812654,6.909568867,1.064138529,44.30022251,30.29165112,86.71874305,27.78528814,17.47115874,8.417654393,9.705669487,42.7802683,45.12483416,26.60419639,9.450883998,15.92100916,20.16054415,45.92795073,2.361573842,22.28922625,24.89087792,44.89421531,33.23783039,30.56579007,15.34814806,83.03468148,64.48591403,25.91591397,22.63134299,40.90201232,22.65713321,43.11870277,35.73498944,40.27095932,36.15974893,15.50854077,16.43646552,35.58694407,25.46978407,22.55889986,25.77357178,18.10770956,56.90412101,46.94288571,22.82739803,28.75912418,45.25653771,45.71210442,47.44954774,29.23970552,25.8043966,34.66158988,23.81242698,34.85568916,-0.772142087,6.129882597,43.39443848,35.75976926,10.17296848,25.8841104,9.241501903,44.97876268,140.3428672,36.80852033,14.05575624,20.00388146,14.80847223
