group,variable,value
Gisngivitis,10,83.16391626
Mucositis,10,-6.241552608
Mucositis,10,-23.50833331
Mucositis,10,-30.67909246
Mucositis,10,-4.999932516
Mucositis,10,12.07122128
Mucositis,10,-8.433951765
Mucositis,10,50.51812793
Mucositis,10,23.84493135
Mucositis,10,23.81495602
Mucositis,10,-13.71746114
Mucositis,10,-2.787435194
Mucositis,10,-7.081412009
Mucositis,10,3.504557456
Mucositis,10,62.30488958
Mucositis,10,-8.200615575
Periimplantitis,10,-26.45890181
Periimplantitis,10,-10.14045494
Periimplantitis,10,-1.107858428
Periimplantitis,10,10.96193699
Periimplantitis,10,-6.922441302
Periimplantitis,10,21.91593986
Periimplantitis,10,3.626957533
Periimplantitis,10,53.89245593
Periimplantitis,10,6.457035555
Periimplantitis,10,7.978618905
Periimplantitis,10,4.519907693
Periimplantitis,10,23.39486819
Periimplantitis,10,-21.52488071
Periimplantitis,10,37.76157809
Healthy,11,17.34695517
Healthy,11,44.57906283
Healthy,11,96.83130182
Healthy,11,9.382834517
Healthy,11,10.26542963
Healthy,11,23.9895301
Healthy,11,0.957298523
Healthy,11,2.800641396
Healthy,11,5.609755316
Healthy,11,-4.087638632
Gisngivitis,11,18.95619976
Gisngivitis,11,25.93732981
Gisngivitis,11,-7.376603278
Gisngivitis,11,32.02884407
Gisngivitis,11,12.46076788
Gisngivitis,11,107.3871305
Gisngivitis,11,7.49249318
Gisngivitis,11,9.619553518
Gisngivitis,11,41.49915895
Gisngivitis,11,69.90302047
Mucositis,11,-5.687157445
Mucositis,11,-24.82792849
Mucositis,11,-28.58823839
Mucositis,11,-5.919544289
Mucositis,11,9.469330142
Mucositis,11,-9.833614074
Mucositis,11,47.27354693
Mucositis,11,24.78571589
Mucositis,11,18.79176932
Mucositis,11,-12.92650406
Mucositis,11,-3.0003346
Mucositis,11,-6.904156268
Mucositis,11,5.724654266
Mucositis,11,65.37438497
Mucositis,11,-7.244467786
Periimplantitis,11,-24.05193435
Periimplantitis,11,-8.812923743
Periimplantitis,11,-1.825517731
Periimplantitis,11,17.95111579
Periimplantitis,11,-8.855603424
Periimplantitis,11,17.7512002
Periimplantitis,11,-1.296593434
Periimplantitis,11,55.61552785
Periimplantitis,11,2.956225015
Periimplantitis,11,8.959978388
Periimplantitis,11,3.652150564
Periimplantitis,11,17.81238068
Periimplantitis,11,-21.2976371
Periimplantitis,11,39.77559945
Healthy,11,18.02234615
Healthy,11,48.20594665
Healthy,11,88.44565187
Healthy,11,7.579053684
Healthy,11,7.885204604
Healthy,11,23.99370771
Healthy,11,-3.102685525
Healthy,11,2.056099788
Healthy,11,6.236935136
Healthy,11,-11.41650289
Gisngivitis,11,15.7770002
Gisngivitis,11,18.12749799
Gisngivitis,11,-8.736026603
Gisngivitis,11,32.78401618
Gisngivitis,11,8.116372461
Gisngivitis,11,94.97945704
Gisngivitis,11,-0.2130729
Gisngivitis,11,5.763206552
Gisngivitis,11,29.36636289
Gisngivitis,11,49.98644373
Mucositis,11,-5.961559426
Mucositis,11,-24.52335957
Mucositis,11,-26.86423603
Mucositis,11,-6.033131513
Mucositis,11,6.770539804
Mucositis,11,-11.04745993
Mucositis,11,40.80843001
Mucositis,11,23.62096656
Mucositis,11,13.77628012
Mucositis,11,-11.92375119
Mucositis,11,-2.984027139
Mucositis,11,-6.716024007
Mucositis,11,6.288890239
Mucositis,11,61.28755724
Mucositis,11,-6.359790227
Periimplantitis,11,-21.48317068
Periimplantitis,11,-8.485180894
Periimplantitis,11,-2.456213197
Periimplantitis,11,22.68167176
Periimplantitis,11,-10.84001779
Periimplantitis,11,12.26136331
Periimplantitis,11,-4.533717311
Periimplantitis,11,51.08741855
Periimplantitis,11,-0.484395497
Periimplantitis,11,9.407592817
Periimplantitis,11,2.696703653
Periimplantitis,11,10.45502948
Periimplantitis,11,-21.42217928
Periimplantitis,11,37.54744023
Healthy,11,18.78059769
Healthy,11,47.03965698
Healthy,11,72.72247757
Healthy,11,4.875647646
Healthy,11,5.502977966
Healthy,11,20.36958502
Healthy,11,-7.531062964
Healthy,11,0.909415054
Healthy,11,8.749725901
Healthy,11,-14.96229655
Gisngivitis,11,10.91911873
Gisngivitis,11,9.824077993
Gisngivitis,11,-9.450357793
Gisngivitis,11,23.34824639
Gisngivitis,11,3.423683697
Gisngivitis,11,74.93478188
Gisngivitis,11,-9.331529608
Gisngivitis,11,1.650492666
Gisngivitis,11,14.85311644
Gisngivitis,11,31.71775506
Mucositis,11,-7.181564766
Mucositis,11,-21.99261824
Mucositis,11,-25.46369321
Mucositis,11,-5.517189818
Mucositis,11,3.542944874
Mucositis,11,-11.82477277
Mucositis,11,32.26253173
Mucositis,11,20.06182442
Mucositis,11,9.648359091
Mucositis,11,-10.55739853
Mucositis,11,-2.986862149
Mucositis,11,-6.416441343
Mucositis,11,5.319600649
Mucositis,11,50.76119603
Mucositis,11,-5.416827781
Periimplantitis,11,-19.33843321
Periimplantitis,11,-8.883827544
Periimplantitis,11,-2.961702567
Periimplantitis,11,24.41928485
Periimplantitis,11,-12.5960624
Periimplantitis,11,6.862925418
Periimplantitis,11,-5.840944153
Periimplantitis,11,40.99020412
Periimplantitis,11,-3.293037492
Periimplantitis,11,9.677933637
Periimplantitis,11,1.97248179
Periimplantitis,11,2.53540415
Periimplantitis,11,-21.67445519
Periimplantitis,11,31.41150503
Healthy,11,17.71024042
Healthy,11,41.47019706
Healthy,11,52.3063934
Healthy,11,1.995025808
Healthy,11,2.800138946
Healthy,11,13.47435483
Healthy,11,-11.57703178
Healthy,11,-0.172052035
Healthy,11,8.66673169
Healthy,11,-15.56314171
Gisngivitis,11,5.216511469
Gisngivitis,11,2.650452809
Gisngivitis,11,-9.744223026
Gisngivitis,11,8.300764793
Gisngivitis,11,0.057004036
Gisngivitis,11,50.7533919
Gisngivitis,11,-18.05471325
Gisngivitis,11,-2.169851576
Gisngivitis,11,3.395960434
Gisngivitis,11,21.25451605
Mucositis,11,-10.00277396
Mucositis,11,-17.13843418
Mucositis,11,-24.25414933
Mucositis,11,-4.75282264
Mucositis,11,-0.05158743
Mucositis,11,-12.12759522
Mucositis,11,23.07300471
Mucositis,11,14.52018713
Mucositis,11,6.965049886
Mucositis,11,-8.610621589
Mucositis,11,-2.851730045
Mucositis,11,-6.108235798
Mucositis,11,3.314337281
Mucositis,11,35.74089354
Mucositis,11,-4.613772243
Periimplantitis,11,-18.03345484
Periimplantitis,11,-9.852884846
Periimplantitis,11,-3.26769036
Periimplantitis,11,23.00298134
Periimplantitis,11,-14.0451458
Periimplantitis,11,2.295116814
Periimplantitis,11,-6.208036848
Periimplantitis,11,27.4183149
Periimplantitis,11,-5.323270276
Periimplantitis,11,9.486298069
Periimplantitis,11,1.654772908
Periimplantitis,11,-4.713936523
Periimplantitis,11,-21.99951701
Periimplantitis,11,22.75117937
Healthy,11,14.04605897
Healthy,11,32.69198323
Healthy,11,31.75586918
Healthy,11,-0.966946168
Healthy,11,-0.677894514
Healthy,11,4.310741505
Healthy,11,-14.77233031
Healthy,11,-1.240196305
Healthy,11,-0.044029906
Healthy,11,-14.25616741
Gisngivitis,11,-0.420808472
Gisngivitis,11,-2.392327221
Gisngivitis,11,-9.848249048
Gisngivitis,11,-0.873966107
Gisngivitis,11,-1.825215533
Gisngivitis,11,27.50238919
Gisngivitis,11,-24.39917107
Gisngivitis,11,-4.994166001
Gisngivitis,11,-4.074962083
