x,Healthy,Gingivitis
10.6,18.02234615,15.7770002
10.6,48.20594665,18.12749799
10.6,88.44565187,-8.736026603
10.6,7.579053684,32.78401618
10.6,7.885204604,8.116372461
10.6,23.99370771,94.97945704
10.6,-3.102685525,-0.2130729
10.6,2.056099788,5.763206552
10.6,6.236935136,29.36636289
10.6,-11.41650289,49.98644373
10.7,18.78059769,10.91911873
10.7,47.03965698,9.824077993
10.7,72.72247757,-9.450357793
10.7,4.875647646,23.34824639
10.7,5.502977966,3.423683697
10.7,20.36958502,74.93478188
10.7,-7.531062964,-9.331529608
10.7,0.909415054,1.650492666
10.7,8.749725901,14.85311644
10.7,-14.96229655,31.71775506
10.8,17.71024042,5.216511469
10.8,41.47019706,2.650452809
10.8,52.3063934,-9.744223026
10.8,1.995025808,8.300764793
10.8,2.800138946,0.057004036
10.8,13.47435483,50.7533919
10.8,-11.57703178,-18.05471325
10.8,-0.172052035,-2.169851576
10.8,8.66673169,3.395960434
10.8,-15.56314171,21.25451605
11,14.04605897,-0.420808472
11,32.69198323,-2.392327221
11,31.75586918,-9.848249048
11,-0.966946168,-0.873966107
11,-0.677894514,-1.825215533
11,4.310741505,27.50238919
11,-14.77233031,-24.39917107
11,-1.240196305,-4.994166001
11,-0.044029906,-4.074962083
11,-14.25616741,18.04625349
11.1,9.193276166,-4.935527578
11.1,22.36905742,-4.857834411
11.1,14.39923266,-10.09704485
11.1,-3.940329027,-0.873707047
11.1,-3.781682365,-3.173667181
11.1,-5.475120498,9.982566972
11.1,-16.88281557,-30.4240268
11.1,-2.403161275,-6.017329283
11.1,-11.48043201,-7.715241729
11.1,-11.9793671,15.5535097
11.2,4.154450211,-7.931413741
11.2,12.89897425,-5.551566672
11.2,1.936020018,-10.69096276
11.2,-6.244467196,-1.336055528
11.2,-6.197098197,-4.425793816
11.2,-14.19255901,-1.418053103
11.2,-17.90574436,-31.12118499
11.2,-3.169861884,-6.726025663
11.2,-15.84611601,-9.182115842
