x,group,y
10.2,Mucositis,53.08046423
10.2,Mucositis,-9.388282332
10.2,Periimplantitis,-28.43328118
10.2,Periimplantitis,-12.73423268
10.2,Periimplantitis,-0.719558474
10.2,Periimplantitis,3.037879139
10.2,Periimplantitis,-5.409523198
10.2,Periimplantitis,23.98173165
10.2,Periimplantitis,8.670983654
10.2,Periimplantitis,46.73419304
10.2,Periimplantitis,9.186448718
10.2,Periimplantitis,5.207001318
10.2,Periimplantitis,4.883744877
10.2,Periimplantitis,26.37564129
10.2,Periimplantitis,-22.21062347
10.2,Periimplantitis,31.90805951
10.3,Healthy,-4.360613496
10.3,Healthy,36.83044686
10.3,Healthy,96.91115272
10.3,Healthy,9.573936956
10.3,Healthy,10.53025401
10.3,Healthy,20.28959174
10.3,Healthy,3.912801352
10.3,Healthy,2.777301102
10.3,Healthy,4.415093059
10.3,Healthy,7.552804448
10.3,Gingivitis,19.61597221
10.3,Gingivitis,32.9357112
10.3,Gingivitis,-4.956725953
10.3,Gingivitis,30.96343666
10.3,Gingivitis,15.73246307
10.3,Gingivitis,111.2220073
10.3,Gingivitis,13.19183713
10.3,Gingivitis,13.19344569
10.3,Gingivitis,52.41507438
10.3,Gingivitis,83.16391626
10.3,Mucositis,-6.241552608
10.3,Mucositis,-23.50833331
10.3,Mucositis,-30.67909246
10.3,Mucositis,-4.999932516
10.3,Mucositis,12.07122128
10.3,Mucositis,-8.433951765
10.3,Mucositis,50.51812793
10.3,Mucositis,23.84493135
10.3,Mucositis,23.81495602
10.3,Mucositis,-13.71746114
10.3,Mucositis,-2.787435194
10.3,Mucositis,-7.081412009
10.3,Mucositis,3.504557456
10.3,Mucositis,62.30488958
10.3,Mucositis,-8.200615575
10.3,Periimplantitis,-26.45890181
10.3,Periimplantitis,-10.14045494
10.3,Periimplantitis,-1.107858428
10.3,Periimplantitis,10.96193699
10.3,Periimplantitis,-6.922441302
10.3,Periimplantitis,21.91593986
10.3,Periimplantitis,3.626957533
10.3,Periimplantitis,53.89245593
10.3,Periimplantitis,6.457035555
10.3,Periimplantitis,7.978618905
10.3,Periimplantitis,4.519907693
10.3,Periimplantitis,23.39486819
10.3,Periimplantitis,-21.52488071
10.3,Periimplantitis,37.76157809
10.5,Healthy,17.34695517
10.5,Healthy,44.57906283
10.5,Healthy,96.83130182
10.5,Healthy,9.382834517
10.5,Healthy,10.26542963
10.5,Healthy,23.9895301
10.5,Healthy,0.957298523
10.5,Healthy,2.800641396
10.5,Healthy,5.609755316
10.5,Healthy,-4.087638632
10.5,Gingivitis,18.95619976
10.5,Gingivitis,25.93732981
10.5,Gingivitis,-7.376603278
10.5,Gingivitis,32.02884407
10.5,Gingivitis,12.46076788
10.5,Gingivitis,107.3871305
10.5,Gingivitis,7.49249318
10.5,Gingivitis,9.619553518
10.5,Gingivitis,41.49915895
10.5,Gingivitis,69.90302047
10.5,Mucositis,-5.687157445
10.5,Mucositis,-24.82792849
10.5,Mucositis,-28.58823839
10.5,Mucositis,-5.919544289
10.5,Mucositis,9.469330142
10.5,Mucositis,-9.833614074
10.5,Mucositis,47.27354693
10.5,Mucositis,24.78571589
10.5,Mucositis,18.79176932
10.5,Mucositis,-12.92650406
10.5,Mucositis,-3.0003346
10.5,Mucositis,-6.904156268
10.5,Mucositis,5.724654266
10.5,Mucositis,65.37438497
10.5,Mucositis,-7.244467786
10.5,Periimplantitis,-24.05193435
10.5,Periimplantitis,-8.812923743
10.5,Periimplantitis,-1.825517731
10.5,Periimplantitis,17.95111579
10.5,Periimplantitis,-8.855603424
10.5,Periimplantitis,17.7512002
10.5,Periimplantitis,-1.296593434
10.5,Periimplantitis,55.61552785
10.5,Periimplantitis,2.956225015
10.5,Periimplantitis,8.959978388
10.5,Periimplantitis,3.652150564
10.5,Periimplantitis,17.81238068
10.5,Periimplantitis,-21.2976371
10.5,Periimplantitis,39.77559945
10.6,Healthy,18.02234615
10.6,Healthy,48.20594665
10.6,Healthy,88.44565187
10.6,Healthy,7.579053684
10.6,Healthy,7.885204604
10.6,Healthy,23.99370771
10.6,Healthy,-3.102685525
10.6,Healthy,2.056099788
10.6,Healthy,6.236935136
10.6,Healthy,-11.41650289
10.6,Gingivitis,15.7770002
10.6,Gingivitis,18.12749799
10.6,Gingivitis,-8.736026603
10.6,Gingivitis,32.78401618
10.6,Gingivitis,8.116372461
10.6,Gingivitis,94.97945704
10.6,Gingivitis,-0.2130729
10.6,Gingivitis,5.763206552
10.6,Gingivitis,29.36636289
10.6,Gingivitis,49.98644373
10.6,Mucositis,-5.961559426
10.6,Mucositis,-24.52335957
10.6,Mucositis,-26.86423603
10.6,Mucositis,-6.033131513
10.6,Mucositis,6.770539804
10.6,Mucositis,-11.04745993
10.6,Mucositis,40.80843001
10.6,Mucositis,23.62096656
10.6,Mucositis,13.77628012
10.6,Mucositis,-11.92375119
10.6,Mucositis,-2.984027139
10.6,Mucositis,-6.716024007
10.6,Mucositis,6.288890239
10.6,Mucositis,61.28755724
10.6,Mucositis,-6.359790227
10.6,Periimplantitis,-21.48317068
10.6,Periimplantitis,-8.485180894
10.6,Periimplantitis,-2.456213197
10.6,Periimplantitis,22.68167176
10.6,Periimplantitis,-10.84001779
10.6,Periimplantitis,12.26136331
10.6,Periimplantitis,-4.533717311
10.6,Periimplantitis,51.08741855
10.6,Periimplantitis,-0.484395497
10.6,Periimplantitis,9.407592817
10.6,Periimplantitis,2.696703653
10.6,Periimplantitis,10.45502948
10.6,Periimplantitis,-21.42217928
10.6,Periimplantitis,37.54744023
10.7,Healthy,18.78059769
10.7,Healthy,47.03965698
10.7,Healthy,72.72247757
10.7,Healthy,4.875647646
10.7,Healthy,5.502977966
10.7,Healthy,20.36958502
10.7,Healthy,-7.531062964
10.7,Healthy,0.909415054
10.7,Healthy,8.749725901
10.7,Healthy,-14.96229655
10.7,Gingivitis,10.91911873
10.7,Gingivitis,9.824077993
10.7,Gingivitis,-9.450357793
10.7,Gingivitis,23.34824639
10.7,Gingivitis,3.423683697
10.7,Gingivitis,74.93478188
10.7,Gingivitis,-9.331529608
10.7,Gingivitis,1.650492666
10.7,Gingivitis,14.85311644
10.7,Gingivitis,31.71775506
10.7,Mucositis,-7.181564766
10.7,Mucositis,-21.99261824
10.7,Mucositis,-25.46369321
10.7,Mucositis,-5.517189818
10.7,Mucositis,3.542944874
10.7,Mucositis,-11.82477277
10.7,Mucositis,32.26253173
10.7,Mucositis,20.06182442
10.7,Mucositis,9.648359091
10.7,Mucositis,-10.55739853
10.7,Mucositis,-2.986862149
10.7,Mucositis,-6.416441343
10.7,Mucositis,5.319600649
10.7,Mucositis,50.76119603
10.7,Mucositis,-5.416827781
10.7,Periimplantitis,-19.33843321
10.7,Periimplantitis,-8.883827544
10.7,Periimplantitis,-2.961702567
10.7,Periimplantitis,24.41928485
10.7,Periimplantitis,-12.5960624
10.7,Periimplantitis,6.862925418
10.7,Periimplantitis,-5.840944153
10.7,Periimplantitis,40.99020412
10.7,Periimplantitis,-3.293037492
10.7,Periimplantitis,9.677933637
10.7,Periimplantitis,1.97248179
10.7,Periimplantitis,2.53540415
10.7,Periimplantitis,-21.67445519
10.7,Periimplantitis,31.41150503
10.8,Healthy,17.71024042
10.8,Healthy,41.47019706
10.8,Healthy,52.3063934
10.8,Healthy,1.995025808
10.8,Healthy,2.800138946
10.8,Healthy,13.47435483
10.8,Healthy,-11.57703178
10.8,Healthy,-0.172052035
10.8,Healthy,8.66673169
10.8,Healthy,-15.56314171
10.8,Gingivitis,5.216511469
10.8,Gingivitis,2.650452809
10.8,Gingivitis,-9.744223026
10.8,Gingivitis,8.300764793
10.8,Gingivitis,0.057004036
10.8,Gingivitis,50.7533919
10.8,Gingivitis,-18.05471325
10.8,Gingivitis,-2.169851576
10.8,Gingivitis,3.395960434
10.8,Gingivitis,21.25451605
10.8,Mucositis,-10.00277396
10.8,Mucositis,-17.13843418
10.8,Mucositis,-24.25414933
10.8,Mucositis,-4.75282264
10.8,Mucositis,-0.05158743
10.8,Mucositis,-12.12759522
10.8,Mucositis,23.07300471
10.8,Mucositis,14.52018713
10.8,Mucositis,6.965049886
10.8,Mucositis,-8.610621589
10.8,Mucositis,-2.851730045
10.8,Mucositis,-6.108235798
10.8,Mucositis,3.314337281
10.8,Mucositis,35.74089354
10.8,Mucositis,-4.613772243
10.8,Periimplantitis,-18.03345484
10.8,Periimplantitis,-9.852884846
10.8,Periimplantitis,-3.26769036
10.8,Periimplantitis,23.00298134
10.8,Periimplantitis,-14.0451458
10.8,Periimplantitis,2.295116814
10.8,Periimplantitis,-6.208036848
10.8,Periimplantitis,27.4183149
10.8,Periimplantitis,-5.323270276
10.8,Periimplantitis,9.486298069
10.8,Periimplantitis,1.654772908
