MW,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis
10.8,17.71024042,41.47019706,52.3063934,1.995025808,2.800138946,13.47435483,-11.57703178,-0.172052035,8.66673169,-15.56314171,5.216511469,2.650452809,-9.744223026,8.300764793,0.057004036,50.7533919,-18.05471325,-2.169851576,3.395960434,21.25451605,-10.00277396,-17.13843418,-24.25414933,-4.75282264,-0.05158743,-12.12759522,23.07300471,14.52018713,6.965049886,-8.610621589,-2.851730045,-6.108235798,3.314337281,35.74089354,-4.613772243,-18.03345484,-9.852884846,-3.26769036,23.00298134,-14.0451458,2.295116814,-6.208036848,27.4183149,-5.323270276,9.486298069,1.654772908,-4.713936523,-21.99951701,22.75117937
11,14.04605897,32.69198323,31.75586918,-0.966946168,-0.677894514,4.310741505,-14.77233031,-1.240196305,-0.044029906,-14.25616741,-0.420808472,-2.392327221,-9.848249048,-0.873966107,-1.825215533,27.50238919,-24.39917107,-4.994166001,-4.074962083,18.04625349,-13.10853052,-12.30339615,-23.00718469,-4.109515085,-3.581083667,-11.91003868,14.73815419,7.870244137,5.207401141,-6.356030221,-2.915144507,-6.060386942,0.872390122,19.58905106,-3.959019146,-17.25384621,-10.82524298,-3.322610444,19.01311668,-14.90297256,-1.024831831,-6.452855499,13.51737337,-6.273914229,7.825596359,1.653537079,-10.66315754,-22.2525075,13.31895351
11.1,9.193276166,22.36905742,14.39923266,-3.940329027,-3.781682365,-5.475120498,-16.88281557,-2.403161275,-11.48043201,-11.9793671,-4.935527578,-4.857834411,-10.09704485,-0.873707047,-3.173667181,9.982566972,-30.4240268,-6.017329283,-7.715241729,15.5535097,-15.72513436,-10.02343442,-21.58920536,-3.734835841,-6.499720183,-11.25007407,8.335938768,1.359608588,3.516357476,-5.008900904,-3.121039838,-6.165805387,-1.505450568,5.251913899,-4.180738644,-16.6431965,-10.72854005,-2.987201533,13.51089256,-15.38555543,-3.516475917,-6.71257685,2.099352147,-6.444498067,4.54510305,1.995781562,-15.03900006,-22.20231503,4.735808002
11.2,4.154450211,12.89897425,1.936020018,-6.244467196,-6.197098197,-14.19255901,-17.90574436,-3.169861884,-15.84611601,-9.844347303,-7.931413741,-5.551566672,-10.69096276,-1.336055528,-4.425793816,-1.418053103,-31.12118499,-6.726025663,-9.182115842,14.6486672,-16.74163403,-9.227524218,-20.08915953,-3.526549346,-8.29819416,-10.21453241,4.043884013,-3.648212842,1.94761763,-4.960311337,-3.391307967,-6.221778467,-3.329788248,-5.509609741,-4.839171497,-15.90306683,-10.27874604,-2.751971065,7.901799862,-15.58399001,-5.036693693,-6.970956502,-5.537629439,-6.32085197,1.00660708,2.859277314,-17.73502763,-21.75850351,-1.734997768
11.4,-0.262231083,5.712928663,-5.863910406,-7.602784896,-7.923915707,-20.8786154,-18.04438076,-3.197874104,-12.27453949,-8.516613932,-9.283650724,-5.652627949,-11.61496795,-3.165950172,-5.029675176,-7.653894416,-27.38015194,-6.438733552,-9.21440719,14.84197181,-16.58429654,-4.13557614,-18.65812639,-3.200739925,-8.820839433,-9.092039825,1.624431052,-6.685302199,0.557336579,-4.7173432,-3.247037244,-6.361284244,-4.392781729,-12.46442999,-5.496082427,-15.1004089,-10.27383792,-2.501002577,3.269872314,-15.43982381,-5.499970635,-6.218898355,-9.595248225,-6.185650679,-1.386842514,4.246596911,-18.75054534,-20.99950059,-5.84851348
11.5,-3.39524989,1.158623823,-10.27365197,-8.293738079,-9.009763985,-25.29215268,-17.66787238,-2.794101294,-11.23349101,-7.795018726,-9.384882667,-5.705836998,-12.41523263,-3.221117558,-4.974204897,-10.5400073,-26.39992735,-5.082812973,-8.279046472,15.93154015,-16.16588272,1.958903929,-17.39566439,-2.703852183,-8.85215034,-8.30872805,0.722728799,-7.979310814,-0.597208916,-3.873749136,-3.073227885,-6.303189543,-4.582717152,-16.22444287,-6.169399159,-14.25250867,-10.77690941,-1.775576934,0.149802396,-15.02840436,-5.28712624,-4.965422808,-11.18349017,-6.33808773,-2.11857184,6.055605747,-18.62870929,-20.20017346,-8.129241816
11.6,-5.428161339,-1.13203873,-12.30483353,-8.295468809,-9.341633521,-27.84220655,-17.09769159,-2.371479167,-14.1003713,-7.31684712,-8.951206184,-5.493614823,-12.81450766,-2.766363559,-4.696753051,-11.54882838,-30.78243019,-4.092993363,-6.855194513,17.93739339,-15.8516859,2.139315694,-16.26102281,-2.251035342,-8.421041463,-7.721550996,0.779091171,-8.163286843,-1.179621949,-3.37910802,-2.878212172,-5.678720377,-4.216487991,-17.87840161,-6.921509395,-13.20838823,-11.19788995,-0.785114807,-1.622771397,-14.65372642,-4.924751837,-4.170585677,-11.3916972,-6.285797337,-1.586985775,7.798460066,-17.73066146,-19.56832148,-8.932977869
11.8,-6.456087758,-1.944274283,-12.84704818,-7.949074142,-9.109591914,-28.71981788,-16.42828133,-2.068546169,-15.8500262,-6.704275592,-8.281545756,-4.671303424,-12.75626451,-1.963682268,-3.967747943,-11.32478758,-35.64260155,-4.063584965,-5.110373612,20.91619459,-15.21181709,-5.052137237,-15.15744585,-1.869136776,-7.517088171,-7.150582656,1.105300873,-7.608748898,-1.41387764,-4.904138274,-2.730956601,-4.779988121,-3.51231566,-18.3881455,-7.503213019,-12.07917408,-11.1393134,-0.484440808,-2.31660428,-13.12710402,-4.43376891,-4.021034256,-10.95805943,-5.244715081,-0.446250791,9.024522961,-16.34061745,-18.98830596,-8.638211713
11.9,-6.471339132,-1.980191371,-12.48320173,-7.603736302,-8.761794311,-28.58174983,-15.57045922,-1.831596017,-14.5603494,-5.979194635,-7.43205688,-3.682187063,-12.30643938,-0.797691667,-2.810558717,-10.25125322,-35.20903064,-4.156721896,-2.823647924,24.11011532,-14.46413593,-16.96463697,-14.09746717,-1.78037427,-6.274057032,-6.480735261,1.614375574,-6.758937519,-1.163185493,-7.779011286,-2.280979104,-4.094457637,-2.852646797,-18.31952849,-7.557445927,-10.99560488,-10.97788012,-0.666687117,-2.391707557,-9.068742221,-3.938988046,-4.340131889,-10.21797211,-3.268996457,0.796690629,10.08303778,-14.62939942,-18.40997129,-7.672969723
12.1,-6.121030083,-1.685868027,-11.54196522,-7.237388992,-8.592201195,-28.18299123,-14.58773256,-1.529298282,-12.89223676,-5.335553796,-6.513506498,-2.681625137,-11.70724703,0.318020496,-1.440620229,-8.582493677,-30.08689281,-3.479589659,0.071806292,27.53216463,-13.03074825,-30.3908154,-13.13038831,-1.78101005,-5.048871851,-5.699958419,2.340631143,-5.493441152,-0.623711413,-10.46063373,-1.884046811,-3.342424142,-2.354555844,-17.80256478,-7.063524444,-9.856785158,-10.63084651,-0.654590915,-2.180854319,-4.152604508,-3.072590097,-4.306853694,-9.05612524,-0.77538407,1.925676264,11.9841026,-12.64427527,-17.82651817,-6.37210222
