0,D1406,D1261
38.9,18.301239595269266,-2.502905450775841
39.2,23.651301672707625,-2.9480180377051246
39.4,30.421492450317878,-3.325527434043352
39.7,38.61732308005421,-3.6382060993026135
39.9,48.49959871358401,-3.9048918135666586
40.2,60.362643444277836,-4.121416938970383
40.4,74.22122483648327,-4.329253141546295
40.7,89.75008893044404,-4.504477890558143
41.0,106.43566984171056,-4.543701022577788
41.2,123.50925319370829,-4.344067908190213
41.5,140.1479430840721,-3.8242396890278965
41.7,154.91647836078963,-3.0365530299642485
42.0,167.03268388723586,-2.057400245235608
42.2,175.94308508701167,-0.9452653702663336
42.5,181.17428713985908,0.25126966737541706
42.8,182.4614458374736,1.502778635505056
43.0,179.66986879768174,2.8030328998939646
43.3,172.89471875658433,4.052252262332537
43.6,162.81461992089243,5.091228078669681
43.8,150.80405947920545,5.899850050695707
44.1,137.6271635897295,6.54486911244567
44.4,124.25045131900556,7.413500317146689
44.6,111.36827576426164,8.766875319852812
44.9,99.78221961970176,10.619772136292397
45.2,89.92187035493662,12.722504453026247
45.4,81.4342077337537,14.763313281939414
45.7,73.3824668988573,16.61255301020396
46.0,64.97282261070188,18.167976425231625
46.3,56.248487111998145,19.35633969392736
46.5,48.085045189834005,20.155715958616874
46.8,41.429845399908416,20.539534194838954
47.1,36.13319693321823,20.466813066137334
47.3,31.083800108553014,19.797767789113728
47.6,25.840115705248646,18.403440300917755
47.9,20.738229392726886,16.412296833615166
48.2,16.256399815627333,14.214394259324605
48.5,12.664387155493305,12.207929414104875
48.7,9.97210496486645,10.610883724149488
49.0,8.044137688738811,9.31519218973438
49.3,6.70327559283257,7.966604388164281
49.6,5.670343548585817,6.424088706910477
49.9,4.751168774285587,4.7727862387170905
50.2,3.8508687147298817,3.219129793654751
50.4,3.042135524836267,2.0969858525094214
50.7,2.402827353241233,1.2182009232231803
51.0,1.9546550132791316,0.4406997520713281
51.3,1.8206130148419104,-0.1542122965061743
51.6,1.8180719384834472,-0.5101486435205158
51.9,1.916795629949884,-0.6253991427349199
52.2,2.427967961133286,-0.6481317536708212
52.5,3.27902283825992,-0.7714629666025808
52.8,3.7841941495763396,-0.9253949642616336
53.0,3.441857842202885,-0.9833687506474994
53.3,2.368658569027544,-0.9674559194977248
53.6,1.3930831737107472,-0.979344586476672
53.9,1.2720899230911709,-1.0461271813435538
54.2,1.2944024097154692,-1.084291902358411
54.5,1.274074830637774,-0.978526577916972
54.8,1.1769617096212974,-0.6919998542972442
55.1,0.8249408327741259,-0.35421278993579985
55.4,0.3057926588294309,-0.08780099209087178
55.7,-0.2375736670521428,0.17217245864991654
56.0,-0.3619390461279168,0.5188130238923868
