"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"139","pH","Healthy","Gingivitis and Mucositis",17,9,0.119575203222692,0.904819663720738,1,"ns"
"140","pH","Healthy","Gingivitis and Peri-implantitis",17,2,-0.263345329097346,0.792284424716724,1,"ns"
"141","pH","Healthy","Mucositis and Periodontitis",17,4,-0.714733359128514,0.474773820464063,1,"ns"
"142","pH","Healthy","Mucositis and Peri-implantitis",17,6,0.445712699571041,0.655804789883877,1,"ns"
"143","pH","Healthy","Periodontitis and Peri-implantitis",17,4,1.43757451377943,0.150554816560839,1,"ns"
"144","pH","Healthy","Gingivitis, Mucositis and Peri-implantitis",17,1,0.175148401387961,0.860963027221826,1,"ns"
"145","pH","Gingivitis","Mucositis",4,20,-1.28657201238313,0.198243503972354,1,"ns"
"146","pH","Gingivitis","Peri-implantitis",4,6,-1.03753389265672,0.299487108721339,1,"ns"
"147","pH","Gingivitis","Gingivitis and Mucositis",4,9,-1.38466961667781,0.166153513630917,1,"ns"
"148","pH","Gingivitis","Gingivitis and Peri-implantitis",4,2,-1.24504200958385,0.213116308594937,1,"ns"
"149","pH","Gingivitis","Mucositis and Periodontitis",4,4,-1.80816591831346,0.0705806812820404,1,"ns"
"150","pH","Gingivitis","Mucositis and Peri-implantitis",4,6,-1.03753389265672,0.299487108721339,1,"ns"
"151","pH","Gingivitis","Periodontitis and Peri-implantitis",4,4,-0.116655865697642,0.907132765471318,1,"ns"
"152","pH","Gingivitis","Gingivitis, Mucositis and Peri-implantitis",4,1,-0.627127004639537,0.530575986838329,1,"ns"
"153","pH","Mucositis","Peri-implantitis",20,6,0.0751045492556947,0.940131528267705,1,"ns"
"154","pH","Mucositis","Gingivitis and Mucositis",20,9,-0.317395764856932,0.750943320374184,1,"ns"
"155","pH","Mucositis","Gingivitis and Peri-implantitis",20,2,-0.503699431307528,0.61447260806281,1,"ns"
"156","pH","Mucositis","Mucositis and Periodontitis",20,4,-1.04776015055282,0.294749126577211,1,"ns"
"157","pH","Mucositis","Mucositis and Peri-implantitis",20,6,0.0751045492556947,0.940131528267705,1,"ns"
"158","pH","Mucositis","Periodontitis and Peri-implantitis",20,4,1.13596993735501,0.255969146225736,1,"ns"
"159","pH","Mucositis","Gingivitis, Mucositis and Peri-implantitis",20,1,0.00345000836628056,0.997247297050606,1,"ns"
"160","pH","Peri-implantitis","Gingivitis and Mucositis",6,9,-0.308051954891217,0.758042798992967,1,"ns"
"161","pH","Peri-implantitis","Gingivitis and Peri-implantitis",6,2,-0.500323909154328,0.616847021559287,1,"ns"
"162","pH","Peri-implantitis","Mucositis and Periodontitis",6,4,-0.943212629687927,0.345572154628817,1,"ns"
"163","pH","Peri-implantitis","Mucositis and Peri-implantitis",6,6,0,1,1,"ns"
"164","pH","Peri-implantitis","Periodontitis and Peri-implantitis",6,4,0.909743794440936,0.362957642218865,1,"ns"
"165","pH","Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,-0.0290930250242202,0.976790398669274,1,"ns"
"166","pH","Gingivitis and Mucositis","Gingivitis and Peri-implantitis",9,2,-0.31488269432587,0.752850721653571,1,"ns"
"167","pH","Gingivitis and Mucositis","Mucositis and Periodontitis",9,4,-0.742993452851509,0.457485644282879,1,"ns"
"168","pH","Gingivitis and Mucositis","Mucositis and Peri-implantitis",9,6,0.308051954891217,0.758042798992967,1,"ns"
"169","pH","Gingivitis and Mucositis","Periodontitis and Peri-implantitis",9,4,1.24740103154689,0.212250488515839,1,"ns"
"170","pH","Gingivitis and Mucositis","Gingivitis, Mucositis and Peri-implantitis",9,1,0.124214497940007,0.901145443443504,1,"ns"
"171","pH","Gingivitis and Peri-implantitis","Mucositis and Periodontitis",2,4,-0.23131928046913,0.817066769182865,1,"ns"
"172","pH","Gingivitis and Peri-implantitis","Mucositis and Peri-implantitis",2,6,0.500323909154328,0.616847021559287,1,"ns"
"173","pH","Gingivitis and Peri-implantitis","Periodontitis and Peri-implantitis",2,4,1.14979289409656,0.25022918266664,1,"ns"
"174","pH","Gingivitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",2,1,0.307891636402663,0.758164790048055,1,"ns"
"175","pH","Mucositis and Periodontitis","Mucositis and Peri-implantitis",4,6,0.943212629687927,0.345572154628817,1,"ns"
"176","pH","Mucositis and Periodontitis","Periodontitis and Peri-implantitis",4,4,1.69151005261581,0.0907394294753917,1,"ns"
"177","pH","Mucositis and Periodontitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.51645753323256,0.605534891703815,1,"ns"
"178","pH","Mucositis and Peri-implantitis","Periodontitis and Peri-implantitis",6,4,0.909743794440936,0.362957642218865,1,"ns"
"179","pH","Mucositis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,-0.0290930250242202,0.976790398669274,1,"ns"
"180","pH","Periodontitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",4,1,-0.553347357034885,0.580025578949936,1,"ns"
